Customer ID,Age,Gender,Number of Dependents,Married,Zip Code
0002-ORFBO,37,Female,0,Yes,93225
0003-MKNFE,46,Male,0,No,91206
0004-TLHLJ,50,Male,0,No,92627
0011-IGKFF,78,Male,0,Yes,94553
0013-EXCHZ,75,Female,0,Yes,93010
0013-MHZWF,23,Female,3,No,95345
0013-SMEOE,67,Female,0,Yes,93437
0014-BMAQU,52,Male,0,Yes,94558
0015-UOCOJ,68,Female,0,No,93063
0016-QLJIS,43,Female,1,Yes,95681
0017-DINOC,47,Male,0,No,92091
0017-IUDMW,25,Female,2,Yes,94086
0018-NYROU,58,Female,0,Yes,95843
0019-EFAEP,32,Female,0,No,91942
0019-GFNTW,39,Female,0,No,93441
0020-INWCK,58,Female,2,Yes,93286
0020-JDNXP,52,Female,1,Yes,94956
0021-IKXGC,72,Female,0,No,92078
0022-TCJCI,79,Male,0,No,94015
0023-HGHWL,67,Male,0,No,95037
0023-UYUPN,79,Female,0,Yes,93601
0023-XUOPT,26,Female,0,Yes,96140
0027-KWYKW,30,Female,2,Yes,93201
0030-FNXPP,22,Female,0,No,93530
0031-PVLZI,34,Female,0,Yes,95550
0032-PGELS,37,Female,1,Yes,92060
0036-IHMOT,37,Female,3,Yes,93648
0040-HALCW,42,Male,3,Yes,95358
0042-JVWOJ,64,Male,0,No,95442
0042-RLHYP,47,Female,3,Yes,95503
0048-LUMLS,23,Male,3,Yes,94038
0048-PIHNL,48,Female,0,Yes,90058
0052-DCKON,28,Male,0,Yes,90063
0052-YNYOT,28,Female,0,No,92231
0056-EPFBG,33,Male,1,Yes,96003
0057-QBUQH,31,Female,3,No,95046
0058-EVZWM,37,Female,0,Yes,95209
0060-FUALY,60,Female,0,Yes,90003
0064-SUDOG,48,Female,3,Yes,90255
0064-YIJGF,60,Male,3,Yes,92398
0067-DKWBL,69,Male,0,No,92129
0068-FIGTF,20,Female,0,No,94539
0071-NDAFP,31,Male,3,Yes,95405
0074-HDKDG,46,Male,0,Yes,95126
0076-LVEPS,57,Male,1,No,91042
0078-XZMHT,19,Male,0,Yes,93291
0080-EMYVY,64,Female,0,No,95240
0080-OROZO,38,Female,0,No,95318
0082-LDZUE,54,Male,0,No,94515
0082-OQIQY,50,Male,0,No,95230
0083-PIVIK,25,Male,0,No,96134
0089-IIQKO,35,Female,3,Yes,96107
0093-EXYQL,72,Female,0,No,93023
0093-XWZFY,51,Male,0,No,92241
0094-OIFMO,78,Female,1,No,91605
0096-BXERS,30,Female,0,Yes,94937
0096-FCPUF,58,Male,0,No,95404
0098-BOWSO,26,Male,0,No,95131
0100-DUVFC,66,Male,0,Yes,90744
0103-CSITQ,20,Female,0,Yes,95357
0104-PPXDV,61,Male,0,Yes,92113
0106-GHRQR,24,Male,0,No,90275
0106-UGRDO,55,Female,0,Yes,95452
0107-WESLM,32,Male,0,No,95255
0107-YHINA,59,Male,0,No,90062
0111-KLBQG,71,Male,1,Yes,92256
0112-QAWRZ,49,Male,2,Yes,92266
0112-QWPNC,61,Male,0,Yes,93563
0114-IGABW,40,Female,0,Yes,93428
0114-PEGZZ,39,Female,0,No,96084
0114-RSRRW,21,Female,0,Yes,95548
0115-TFERT,24,Male,0,Yes,93650
0117-LFRMW,52,Male,1,Yes,94508
0118-JPNOY,71,Female,0,No,95333
0121-SNYRK,45,Male,0,No,95560
0122-OAHPZ,29,Female,0,No,92122
0123-CRBRT,62,Female,0,Yes,91755
0125-LZQXK,42,Male,0,No,95305
0128-MKWSG,51,Female,2,No,91381
0129-KPTWJ,39,Male,0,Yes,95660
0129-QMPDR,64,Male,0,Yes,91746
0130-SXOUN,55,Male,0,No,95443
0133-BMFZO,40,Female,0,No,91803
0134-XWXCE,76,Female,0,No,90403
0135-NMXAP,57,Female,0,No,95240
0136-IFMYD,71,Male,0,Yes,90001
0137-OCGAB,25,Female,0,No,94533
0137-UDEUO,24,Female,0,No,95204
0139-IVFJG,19,Female,0,Yes,92592
0141-YEAYS,77,Female,0,No,92028
0142-GVYSN,57,Male,0,No,93554
0147-ESWWR,73,Female,0,Yes,93422
0148-DCDOS,41,Male,0,No,95365
0151-ONTOV,43,Female,0,No,93021
0156-FVPTA,48,Male,0,Yes,93463
0164-APGRB,56,Female,0,No,94515
0164-XAIRP,51,Female,0,No,90638
0168-XZKBB,34,Female,0,Yes,93516
0174-QRVVY,21,Male,2,Yes,92078
0177-PXBAT,78,Male,0,Yes,92239
0178-CIIKR,60,Female,0,No,95313
0178-SZBHO,54,Male,1,Yes,95379
0181-RITDD,42,Male,3,Yes,92120
0186-CAERR,22,Male,0,No,95603
0187-QSXOE,71,Male,0,Yes,93725
0187-WZNAB,56,Female,2,Yes,93616
0188-GWFLE,33,Male,0,No,94065
0191-EQUUH,32,Female,3,No,92285
0191-ZHSKZ,80,Male,0,No,90250
0193-ESZXP,73,Female,0,Yes,93445
0195-IESCP,26,Male,0,Yes,93202
0196-JTUQI,59,Female,0,No,95612
0196-VULGZ,78,Female,0,Yes,92620
0197-PNKNK,47,Female,1,Yes,95066
0201-MIBOL,68,Female,0,No,95368
0201-OAMXR,30,Female,0,No,95519
0203-HHYIJ,62,Male,0,No,94027
0206-OYVOC,52,Female,2,Yes,92649
0206-TBWLC,63,Female,0,Yes,92320
0207-MDKNV,54,Female,0,No,94014
0208-BPQEJ,48,Female,1,Yes,95461
0212-ISBBF,51,Female,0,No,94705
0214-JHPFW,22,Female,0,Yes,93249
0215-BQKGS,52,Male,0,No,92844
0218-QNVAS,22,Male,1,Yes,92203
0219-QAERP,33,Male,0,Yes,93033
0219-YTZUE,26,Male,0,Yes,92122
0220-EBGCE,58,Male,0,No,92027
0221-NAUXK,22,Male,1,No,92553
0221-WMXNQ,66,Male,0,No,91710
0222-CNVPT,69,Male,0,No,95820
0224-HJAPT,25,Male,0,No,92117
0224-NIJLP,30,Male,3,Yes,95380
0224-RLWWD,73,Female,0,No,92231
0225-ZORZP,46,Male,0,No,95321
0228-MAUWC,40,Male,0,No,95033
0229-LFJAF,53,Male,0,No,93611
0230-UBYPQ,76,Male,0,Yes,96046
0230-WEQUW,38,Male,0,Yes,91364
0231-LXVAP,23,Male,0,No,92592
0233-FTHAV,24,Female,0,No,95334
0234-TEVTT,43,Female,3,Yes,93274
0235-KGSLC,45,Female,0,No,93427
0236-HFWSV,49,Male,0,No,93552
0237-YFUTL,62,Female,0,Yes,92655
0238-WHBIQ,25,Male,1,Yes,95630
0239-OXEXL,37,Female,0,No,94619
0244-LGNFY,35,Female,1,Yes,94960
0247-SLUJI,37,Male,3,Yes,91010
0248-IPDFW,19,Female,0,No,92530
0248-PGHBZ,69,Female,0,No,92672
0253-ZTEOB,44,Female,1,Yes,90004
0254-FNMCI,19,Female,0,No,90241
0254-KCJGT,64,Male,0,Yes,94923
0254-WWRKD,44,Female,3,Yes,95925
0256-LTHVJ,58,Female,0,Yes,92338
0257-KXZGU,29,Female,1,Yes,95051
0257-ZESQC,80,Female,0,Yes,92571
0258-NOKBL,22,Male,0,No,95540
0259-GBZSH,22,Male,0,No,92122
0260-ZDLGK,50,Female,2,No,91773
0263-FJTQO,53,Male,2,Yes,95672
0264-CNITK,45,Female,2,Yes,96106
0265-EDXBD,76,Male,0,Yes,92122
0265-PSUAE,57,Female,3,Yes,95651
0266-CLZKZ,45,Female,3,Yes,92078
0266-GMEAO,43,Male,1,Yes,93436
0268-QKIWO,41,Female,0,No,95664
0269-XFESX,22,Male,3,Yes,94133
0270-THENM,62,Male,2,Yes,91345
0274-JKUJR,21,Male,2,Yes,90040
0277-BKSQP,49,Male,3,Yes,90710
0277-ORXQS,33,Male,4,Yes,94108
0278-YXOOG,30,Male,0,No,90301
0280-XJGEX,38,Male,1,No,90015
0281-CNTZX,56,Male,0,Yes,94060
0282-NVSJS,70,Female,1,Yes,95004
0285-INHLN,54,Male,6,Yes,93603
0289-IVARM,57,Female,0,No,93648
0292-WEGCH,40,Female,2,Yes,92328
0295-PPHDO,56,Male,0,No,91744
0295-QVKPB,38,Male,0,No,93656
0297-RBCSG,61,Male,0,No,94104
0298-XACET,35,Male,2,Yes,95916
0301-FIDRB,61,Female,3,Yes,95439
0301-KOBTQ,50,Male,0,No,95010
0302-JOIVN,47,Female,0,Yes,92109
0303-UNCIP,35,Male,0,No,91711
0303-WMMRN,32,Male,0,No,91207
0305-SQECB,54,Female,1,No,90248
0306-JAELE,61,Male,0,No,92028
0307-BCOPK,62,Female,0,No,94134
0308-GIQJT,80,Male,0,No,92126
0308-IVGOK,23,Female,0,No,92703
0310-MVLET,63,Female,0,Yes,95369
0310-SUCIN,50,Female,0,Yes,93522
0310-VQXAM,56,Male,0,No,92404
0311-QYWSS,63,Female,0,No,95542
0311-UNPFF,58,Female,0,No,90807
0314-TKOSI,29,Female,0,No,91784
0315-LVCRK,54,Male,0,No,95762
0318-QUUOB,25,Male,0,Yes,95403
0318-ZOPWS,31,Female,0,Yes,90265
0319-QZTCO,25,Female,2,Yes,95401
0320-DWVTU,46,Female,0,No,93656
0320-JDNQG,28,Male,0,Yes,93035
0322-CHQRU,63,Male,0,No,93591
0322-YINQP,37,Male,0,No,91723
0323-XWWTN,44,Male,1,No,93954
0324-BRPCJ,74,Female,0,Yes,93591
0325-XBFAC,44,Male,0,No,95546
0326-VDYXE,21,Female,0,Yes,90802
0327-WFZSY,62,Male,3,Yes,95564
0328-GRPMV,43,Female,0,No,95527
0329-GTIAJ,40,Female,0,No,92844
0330-BGYZE,48,Male,0,Yes,96121
0330-IVZHA,55,Female,0,Yes,96007
0334-GDDSO,77,Male,0,No,92122
0334-ZFJSR,41,Female,0,Yes,92123
0336-KXKFK,43,Male,0,No,93453
0336-PIKEI,69,Male,0,Yes,92869
