Zip_Code,City,Latitude,Longitude,Population
90001,Los Angeles,33.973616,-118.24902,54492
90002,Los Angeles,33.949255,-118.246978,44586
90003,Los Angeles,33.964131,-118.272783,58198
90004,Los Angeles,34.076259,-118.310715,67852
90005,Los Angeles,34.059281,-118.30742,43019
90006,Los Angeles,34.048013,-118.293953,62784
90007,Los Angeles,34.027337,-118.28515,45025
90008,Los Angeles,34.008293,-118.346766,30852
90010,Los Angeles,34.062125,-118.315709,1957
90011,Los Angeles,34.00709,-118.258681,101215
90012,Los Angeles,34.065875,-118.238728,30596
90013,Los Angeles,34.044639,-118.240413,9732
90014,Los Angeles,34.043144,-118.251977,3524
90015,Los Angeles,34.039224,-118.266293,15140
90016,Los Angeles,34.028331,-118.354338,46984
90017,Los Angeles,34.052842,-118.264495,20692
90018,Los Angeles,34.028735,-118.317236,47143
90019,Los Angeles,34.049841,-118.33846,67520
90020,,,,42394
90021,Los Angeles,34.029043,-118.239504,3012
90022,Los Angeles,34.02381,-118.156582,68701
90023,Los Angeles,34.017697,-118.200577,47487
90024,Los Angeles,34.066303,-118.435479,44150
90025,Los Angeles,34.046174,-118.446333,41175
90026,Los Angeles,34.078991,-118.263804,73686
90027,Los Angeles,34.127194,-118.295647,48727
90028,Los Angeles,34.099869,-118.326843,30568
90029,Los Angeles,34.089953,-118.294824,41713
90031,Los Angeles,34.085807,-118.206617,38415
90032,Los Angeles,34.078821,-118.177576,46960
90033,Los Angeles,34.050198,-118.210946,49431
90034,Los Angeles,34.030578,-118.399613,58218
90035,Los Angeles,34.051809,-118.383843,27799
90036,Los Angeles,34.070291,-118.349191,32901
90037,Los Angeles,34.002642,-118.287596,56709
90038,Los Angeles,34.088017,-118.327168,32562
90039,Los Angeles,34.110845,-118.259595,29310
90040,Los Angeles,33.994524,-118.149953,9805
90041,Los Angeles,34.137412,-118.207607,27866
90042,Los Angeles,34.11572,-118.192754,64672
90043,Los Angeles,33.988543,-118.334081,44764
90044,Los Angeles,33.952714,-118.292061,87383
90045,Los Angeles,33.954017,-118.402447,39334
90046,Los Angeles,34.108455,-118.362081,49839
90047,Los Angeles,33.958149,-118.308441,47107
90048,Los Angeles,34.072945,-118.37267,21739
90049,Los Angeles,34.091829,-118.491244,33523
90056,Los Angeles,33.987945,-118.370442,8115
90057,Los Angeles,34.061918,-118.277939,44004
90058,Los Angeles,34.001617,-118.222274,3642
90059,Los Angeles,33.927254,-118.249826,38128
90061,Los Angeles,33.92128,-118.274186,24511
90062,Los Angeles,34.003553,-118.308933,29299
90063,Los Angeles,34.044271,-118.185237,55668
90064,Los Angeles,34.037251,-118.423573,24505
90065,Los Angeles,34.108833,-118.229715,47534
90066,Los Angeles,34.002028,-118.430656,55204
90067,Los Angeles,34.057496,-118.413959,2527
90068,Los Angeles,34.137411,-118.328915,21728
90069,West Hollywood,34.093781,-118.381061,20408
90071,Los Angeles,34.052917,-118.255178,21
90077,Los Angeles,34.102084,-118.451629,10470
