Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Unlimited Data,Phone Service,Streaming TV,Streaming Movies,Streaming Music,Premium Tech Support,Offer,Customer ID
No,Yes,Cable,No,Yes,No,Yes,Yes,Yes,No,No,Yes,None,0002-ORFBO
Yes,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes,No,None,0003-MKNFE
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,No,Offer E,0004-TLHLJ
No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Offer D,0011-IGKFF
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,Yes,None,0013-EXCHZ
No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Offer E,0013-MHZWF
No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer A,0013-SMEOE
Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,Offer B,0014-BMAQU
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,Offer E,0015-UOCOJ
Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0016-QLJIS
,Yes,Cable,Yes,No,No,Yes,No,Yes,No,No,Yes,None,0017-DINOC
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0017-IUDMW
No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,None,0018-NYROU
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Offer A,0019-EFAEP
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,None,0019-GFNTW
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Offer A,0020-INWCK
,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,None,0020-JDNXP
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer E,0021-IKXGC
No,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,No,No,None,0022-TCJCI
,Yes,Cable,No,No,No,Yes,No,No,No,No,No,None,0023-HGHWL
Yes,No,,,,,,Yes,,,,,None,0023-UYUPN
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,No,No,None,0023-XUOPT
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,No,No,No,Offer D,0027-KWYKW
No,No,,,,,,Yes,,,,,None,0030-FNXPP
No,No,,,,,,Yes,,,,,Offer E,0031-PVLZI
,Yes,DSL,Yes,No,No,Yes,No,No,No,No,No,None,0032-PGELS
No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,None,0036-IHMOT
No,No,,,,,,Yes,,,,,None,0040-HALCW
No,No,,,,,,Yes,,,,,Offer C,0042-JVWOJ
No,No,,,,,,Yes,,,,,None,0042-RLHYP
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Offer C,0048-LUMLS
No,No,,,,,,Yes,,,,,Offer B,0048-PIHNL
Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0052-DCKON
No,No,,,,,,Yes,,,,,None,0052-YNYOT
,Yes,Cable,Yes,No,Yes,Yes,No,No,No,No,Yes,None,0056-EPFBG
Yes,No,,,,,,Yes,,,,,None,0057-QBUQH
Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,No,Offer B,0058-EVZWM
Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Offer B,0060-FUALY
No,No,,,,,,Yes,,,,,None,0064-SUDOG
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,No,No,Offer C,0064-YIJGF
No,Yes,DSL,Yes,No,No,Yes,Yes,No,No,No,No,None,0067-DKWBL
No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer C,0068-FIGTF
Yes,No,,,,,,Yes,,,,,None,0071-NDAFP
No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,None,0074-HDKDG
,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,No,Yes,None,0076-LVEPS
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,None,0078-XZMHT
No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,No,No,None,0080-EMYVY
No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer C,0080-OROZO
No,Yes,DSL,No,No,No,Yes,Yes,No,No,No,No,Offer E,0082-LDZUE
No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,None,0082-OQIQY
Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,None,0083-PIVIK
Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,None,0089-IIQKO
No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,No,None,0093-EXYQL
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,None,0093-XWZFY
No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,No,No,Offer D,0094-OIFMO
Yes,Yes,Cable,No,No,No,Yes,Yes,No,No,No,No,Offer E,0096-BXERS
Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,No,None,0096-FCPUF
No,No,,,,,,Yes,,,,,None,0098-BOWSO
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,None,0100-DUVFC
Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Offer B,0103-CSITQ
No,Yes,DSL,No,No,Yes,Yes,Yes,No,No,No,No,None,0104-PPXDV
