churn_reason,Customer ID,Total Refunds,Total Charges,Total Revenue,Paperless Billing,Total Long Distance Charges,Total Extra Data Charges,Contract,Tenure in Months,Number of Referrals,Monthly Charge,Payment Method,Customer Status,Avg Monthly GB Download
,0002-ORFBO,0,593.3,974.81,Yes,381.51,0,One Year,9,2,65.6,Credit Card,Stayed,16
,0003-MKNFE,38.33,542.4,610.28,No,96.21,10,Month-to-Month,9,0,-4,Credit Card,Stayed,10
2,0004-TLHLJ,0,280.85,415.45,Yes,134.6,0,Month-to-Month,4,0,73.9,Bank Withdrawal,Churned,30
7,0011-IGKFF,0,1237.85,1599.51,Yes,361.66,0,Month-to-Month,13,1,98,Bank Withdrawal,Churned,4
10,0013-EXCHZ,0,267.4,289.54,Yes,22.14,0,Month-to-Month,3,3,83.9,Credit Card,Churned,11
,0013-MHZWF,0,571.45,722.38,Yes,150.93,0,Month-to-Month,9,0,69.4,Credit Card,Stayed,73
,0013-SMEOE,0,7904.25,8611.41,Yes,707.16,0,Two Year,71,1,109.7,Bank Withdrawal,Stayed,14
,0014-BMAQU,0,5377.8,6214.28,Yes,816.48,20,Two Year,63,8,84.65,Credit Card,Stayed,7
,0015-UOCOJ,0,340.35,414.06,Yes,73.71,0,Two Year,7,0,48.2,Bank Withdrawal,Stayed,21
,0016-QLJIS,0,5957.9,7807.8,Yes,1849.9,0,Two Year,65,3,90.45,Credit Card,Stayed,14
,0017-DINOC,0,2460.55,2460.55,No,0,0,Two Year,54,0,45.2,Credit Card,Stayed,10
,0017-IUDMW,0,8456.75,9609.47,Yes,1152.72,0,Two Year,72,2,116.8,Credit Card,Stayed,59
,0018-NYROU,0,351.5,444.75,Yes,93.25,0,Month-to-Month,5,0,68.95,Bank Withdrawal,Stayed,10
,0019-EFAEP,0,7261.25,7423.25,Yes,162,0,Two Year,72,0,101.3,Bank Withdrawal,Stayed,16
,0019-GFNTW,0,2560.1,2560.1,No,0,0,Two Year,56,0,45.05,Bank Withdrawal,Stayed,19
,0020-INWCK,0,6849.4,8784.86,Yes,1935.46,0,Two Year,71,9,95.75,Credit Card,Stayed,12
,0020-JDNXP,0,1993.2,1993.2,No,0,0,One Year,34,0,61.25,Credit Card,Stayed,20
,0021-IKXGC,0,72.1,79.87,Yes,7.77,0,One Year,1,0,72.1,Bank Withdrawal,Joined,22
4,0022-TCJCI,0,2791.5,3271.65,No,480.15,0,One Year,45,0,62.7,Credit Card,Churned,17
5,0023-HGHWL,0,25.1,25.1,Yes,0,0,Month-to-Month,1,0,25.1,Bank Withdrawal,Churned,9
,0023-UYUPN,0,1306.3,2877.8,No,1571.5,0,One Year,50,0,25.2,Bank Withdrawal,Stayed,
9,0023-XUOPT,0,1215.6,1781.88,No,566.28,0,Month-to-Month,13,1,94.1,Bank Withdrawal,Churned,52
,0027-KWYKW,0,1849.95,2652.88,Yes,802.93,0,Month-to-Month,23,1,83.75,Bank Withdrawal,Stayed,30
,0030-FNXPP,0,57.2,66.56,No,9.36,0,Month-to-Month,3,0,19.85,Credit Card,Joined,
14,0031-PVLZI,0,76.35,126.07,No,49.72,0,Month-to-Month,4,0,20.35,Credit Card,Churned,
18,0032-PGELS,0,30.5,30.5,No,0,0,Month-to-Month,1,1,30.5,Bank Withdrawal,Churned,19
,0036-IHMOT,0,5656.75,7603.95,Yes,1927.2,20,One Year,55,10,103.7,Bank Withdrawal,Stayed,57
,0040-HALCW,0,1090.6,2154.4,No,1063.8,0,Two Year,54,3,20.4,Credit Card,Stayed,
,0042-JVWOJ,21.25,471.85,1430.8,Yes,980.2,0,One Year,26,0,19.6,Bank Withdrawal,Stayed,
,0042-RLHYP,0,1396.9,4045.81,No,2648.91,0,Two Year,69,5,19.7,Bank Withdrawal,Stayed,
,0048-LUMLS,0,3247.55,4838.92,No,1591.37,0,One Year,37,1,91.2,Credit Card,Stayed,51
,0048-PIHNL,0,900.9,3330.32,No,2429.42,0,One Year,49,5,20.45,Bank Withdrawal,Stayed,
,0052-DCKON,0,7942.15,10830.97,No,2888.82,0,One Year,66,9,-2,Bank Withdrawal,Stayed,41
,0052-YNYOT,30.53,1343.4,2861.91,No,1549.04,0,One Year,67,0,20.55,Bank Withdrawal,Stayed,
,0056-EPFBG,0,825.4,825.4,Yes,0,0,Two Year,20,4,39.4,Credit Card,Stayed,22
,0057-QBUQH,0,1070.15,2387.67,Yes,1317.52,0,Two Year,43,0,25.1,Bank Withdrawal,Stayed,
,0058-EVZWM,0,4959.6,5239,Yes,279.4,0,Month-to-Month,55,2,89.8,Bank Withdrawal,Stayed,9
,0060-FUALY,0,5597.65,6564.66,Yes,967.01,0,Month-to-Month,59,4,94.75,Bank Withdrawal,Stayed,14
,0064-SUDOG,0,224.5,455.86,No,231.36,0,Two Year,12,3,20.3,Bank Withdrawal,Stayed,
,0064-YIJGF,0,1929,2611.02,Yes,682.02,0,Month-to-Month,27,7,75.75,Bank Withdrawal,Stayed,23
5,0067-DKWBL,0,91.1,179.08,Yes,87.98,0,Month-to-Month,2,0,49.25,Bank Withdrawal,Churned,27
,0068-FIGTF,0,2078.95,3399.52,No,1320.57,0,One Year,27,0,78.2,Credit Card,Stayed,59
,0071-NDAFP,44.42,630.6,1178.43,No,592.25,0,Two Year,25,1,25.5,Credit Card,Stayed,
,0074-HDKDG,44.9,1611,1727.35,Yes,161.25,0,One Year,25,5,61.6,Bank Withdrawal,Stayed,19
,0076-LVEPS,12.26,1242.45,1230.19,Yes,0,0,Month-to-Month,29,0,45,Credit Card,Stayed,21
,0078-XZMHT,0,6316.2,8646.12,Yes,2329.92,0,Two Year,72,5,85.15,Bank Withdrawal,Stayed,52
,0080-EMYVY,0,727.85,1064.41,No,336.56,0,One Year,14,0,51.45,Credit Card,Stayed,12
,0080-OROZO,0,3532,4806.7,Yes,1274.7,0,One Year,35,0,99.25,Bank Withdrawal,Stayed,2
,0082-LDZUE,0,44.3,87.25,Yes,42.95,0,Month-to-Month,1,0,44.3,Credit Card,Joined,9
,0082-OQIQY,0,2607.6,2687.05,Yes,59.45,20,Month-to-Month,29,0,94.2,Bank Withdrawal,Stayed,17
,0083-PIVIK,0,5567.55,5958.91,No,351.36,40,One Year,64,0,81.25,Bank Withdrawal,Stayed,69
,0089-IIQKO,0,3767.4,4718.22,Yes,950.82,0,Month-to-Month,39,1,99.95,Credit Card,Stayed,53
,0093-EXYQL,0,3673.6,5439.2,Yes,1765.6,0,Two Year,40,0,91.55,Bank Withdrawal,Stayed,23
2,0093-XWZFY,0,4036.85,5544.45,Yes,1507.6,0,Month-to-Month,40,0,104.5,Credit Card,Churned,15
7,0094-OIFMO,0,1120.3,1367.79,Yes,127.49,120,Month-to-Month,11,0,95,Bank Withdrawal,Churned,29
,0096-BXERS,0,314.55,570.51,No,255.96,0,Month-to-Month,6,10,50.35,Bank Withdrawal,Stayed,85
,0096-FCPUF,0,1888.45,1967.65,Yes,79.2,0,Month-to-Month,30,0,64.5,Mailed Check,Stayed,15
,0098-BOWSO,0,529.8,1087.62,Yes,557.82,0,Month-to-Month,27,0,19.4,Bank Withdrawal,Stayed,
,0100-DUVFC,6.11,7308.95,10067.14,Yes,2764.3,0,One Year,70,3,104.8,Bank Withdrawal,Stayed,28
,0103-CSITQ,0,6252.7,6709.27,Yes,456.57,0,One Year,57,10,109.4,Bank Withdrawal,Stayed,73
,0104-PPXDV,10.23,2878.55,3933.78,No,1065.46,0,One Year,58,10,50.3,Credit Card,Stayed,18
,0106-GHRQR,0,1212.1,1623.46,Yes,411.36,0,Month-to-Month,16,0,71.4,Bank Withdrawal,Stayed,48
,0106-UGRDO,0,8182.85,10840.73,Yes,2657.88,0,Two Year,69,3,116,Bank Withdrawal,Stayed,27
12,0107-WESLM,0,19.85,51.62,Yes,31.77,0,Month-to-Month,1,0,19.85,Bank Withdrawal,Churned,
2,0107-YHINA,0,99.75,140.46,Yes,40.71,0,Month-to-Month,1,0,99.75,Bank Withdrawal,Churned,25
,0111-KLBQG,0,2861.45,3880.97,Yes,1019.52,0,One Year,32,9,93.95,Mailed Check,Stayed,23
,0112-QAWRZ,0,1442.2,2221.56,Yes,779.36,0,Month-to-Month,16,8,90.8,Bank Withdrawal,Stayed,12
8,0112-QWPNC,0,4059.35,5997.3,No,1937.95,0,One Year,49,1,84.35,Bank Withdrawal,Churned,10
,0114-IGABW,0,4145.9,4145.9,No,0,0,Two Year,71,2,58.25,Bank Withdrawal,Stayed,29
,0114-PEGZZ,0,3645.5,5285.27,No,1639.77,0,Month-to-Month,33,0,107.55,Bank Withdrawal,Stayed,12
,0114-RSRRW,0,187.75,683.75,Yes,496,0,Month-to-Month,10,9,19.95,Bank Withdrawal,Stayed,
18,0115-TFERT,0,2317.1,3198.56,Yes,761.46,120,Month-to-Month,21,1,111.2,Bank Withdrawal,Churned,59
11,0117-LFRMW,0,1448.8,1448.8,No,0,0,Month-to-Month,37,1,40.2,Bank Withdrawal,Churned,23
,0118-JPNOY,0,2193.65,3070.89,Yes,877.24,0,Month-to-Month,26,0,85.8,Credit Card,Stayed,7
,0121-SNYRK,0,1748.9,1748.9,Yes,0,0,One Year,50,0,35.4,Credit Card,Stayed,7
